customer_id,first_name,last_name,age,gender,email,phone,province,city,income_category,employment_status,primary_account,accounts,products,credit_score,tenure_months,join_date
SA010000,Jessica,Chambers,58,Male,jessica.chambers@gmail.com,+27832719583,Gauteng,Soweto,Lower-Middle (R100k-R350k),Full-time,Savings,"Home Loan, Savings","Personal Loan, Investment Portfolio",300,9,2023-04-05
SA010001,Angela,Collins,30,Female,angela.collins@gmail.com,+27843678638,Gauteng,Benoni,Lower-Middle (R100k-R350k),Full-time,Investment,"Investment, Vehicle Finance",Savings Plan,683,56,2019-05-26
SA010002,Crystal,Hurley,72,Female,crystal.hurley@outlook.com,+27637350753,Eastern Cape,Port Elizabeth,Middle (R350k-R600k),Full-time,Investment,Investment,"Investment Portfolio, Personal Loan",639,148,2011-11-04
SA010003,Matthew,Soto,72,Male,matthew.soto@outlook.com,+27867120868,North West,Mahikeng,Lower-Middle (R100k-R350k),Retired,Investment,Investment,"Home Insurance, Investment Portfolio",475,172,2009-11-14
SA010004,Johnathan,Salinas,64,Male,johnathan.salinas@outlook.com,+27824684531,Gauteng,Centurion,Lower-Middle (R100k-R350k),Full-time,Savings,"Savings, Cheque",Savings Plan,462,207,2006-12-30
SA010005,Charles,Le,31,Female,charles.le@gmail.com,+27675408072,KwaZulu-Natal,Richards Bay,Low (<R100k),Full-time,Home Loan,"Credit, Home Loan",,379,93,2016-05-11
SA010006,Jennifer,Watson,21,Male,jennifer.watson@yahoo.com,+27792065818,Gauteng,Pretoria,Upper-Middle (R600k-R1.2M),Unemployed,Home Loan,Home Loan,,734,136,2012-10-29
SA010007,Joseph,Warren,64,Male,joseph.warren@outlook.com,+27702871534,Free State,Parys,Middle (R350k-R600k),Unemployed,Cheque,Cheque,Home Insurance,836,1,2023-12-01
SA010008,David,Anderson,50,Male,david.anderson@outlook.com,+27794337174,North West,Klerksdorp,Middle (R350k-R600k),Full-time,Cheque,Cheque,"Investment Portfolio, Vehicle Insurance, Personal Loan, Credit Card",644,154,2011-05-08
SA010009,Kimberly,Sullivan,74,Male,kimberly.sullivan@outlook.com,+27843109911,Gauteng,Centurion,Upper-Middle (R600k-R1.2M),Full-time,Credit,Credit,Life Insurance,812,68,2018-05-31
SA010010,Kaitlyn,Martinez,63,Female,kaitlyn.martinez@outlook.com,+27743030113,KwaZulu-Natal,Newcastle,Lower-Middle (R100k-R350k),Full-time,Savings,Savings,Vehicle Insurance,621,6,2023-07-04
SA010011,Colton,White,63,Male,colton.white@gmail.com,+27764993055,Gauteng,Johannesburg,Upper-Middle (R600k-R1.2M),Retired,Credit,Credit,"Overdraft Facility, Vehicle Insurance",725,139,2012-07-31
SA010012,Alexis,Evans,68,Female,alexis.evans@outlook.com,+27736944126,Limpopo,Tzaneen,Low (<R100k),Full-time,Credit,"Credit, Savings","Life Insurance, Vehicle Insurance, Credit Card",549,16,2022-09-07
SA010013,John,Franco,52,Female,john.franco@gmail.com,+27872264748,Gauteng,Pretoria,Lower-Middle (R100k-R350k),Retired,Home Loan,"Home Loan, Savings","Life Insurance, Vehicle Insurance, Overdraft Facility, Savings Plan",527,167,2010-04-13
SA010014,Marilyn,May,48,Male,marilyn.may@gmail.com,+27725449368,North West,Rustenburg,Low (<R100k),Self-employed,Vehicle Finance,"Credit, Investment, Vehicle Finance",Investment Portfolio,618,188,2008-07-22
SA010015,Bob,Torres,31,Male,bob.torres@yahoo.com,+27611841248,Eastern Cape,Queenstown,Low (<R100k),Unemployed,Home Loan,"Home Loan, Vehicle Finance",,520,15,2022-10-07
SA010016,Nathan,Brown,22,Male,nathan.brown@outlook.com,+27612375453,KwaZulu-Natal,Ladysmith,Low (<R100k),Part-time,Vehicle Finance,"Home Loan, Vehicle Finance",Investment Portfolio,409,240,2004-04-14
SA010017,Miguel,Perez,43,Male,miguel.perez@gmail.com,+27608688755,Eastern Cape,Mthatha,Lower-Middle (R100k-R350k),Full-time,Home Loan,"Home Loan, Savings","Vehicle Insurance, Overdraft Facility, Home Insurance, Savings Plan",423,138,2012-08-30
SA010018,Steven,Johnson,28,Female,steven.johnson@outlook.com,+27761131249,North West,Klerksdorp,Lower-Middle (R100k-R350k),Full-time,Home Loan,"Home Loan, Investment",Home Insurance,351,225,2005-07-08
SA010019,James,Hall,35,Female,james.hall@outlook.com,+27875428914,Eastern Cape,Mthatha,Low (<R100k),Full-time,Investment,"Investment, Savings",Home Insurance,501,163,2010-08-11
SA010020,Gregory,Yang,58,Female,gregory.yang@yahoo.com,+27771162230,Gauteng,Centurion,Middle (R350k-R600k),Full-time,Vehicle Finance,Vehicle Finance,Home Insurance,556,140,2012-07-01
SA010021,Jordan,Moss,20,Female,jordan.moss@gmail.com,+27815186414,Western Cape,Cape Town,Upper-Middle (R600k-R1.2M),Retired,Home Loan,"Investment, Home Loan",Home Insurance,810,159,2010-12-09
SA010022,Crystal,Perry,80,Male,crystal.perry@yahoo.com,+27857907400,North West,Rustenburg,Low (<R100k),Full-time,Vehicle Finance,"Vehicle Finance, Cheque, Investment",,622,202,2007-05-29
